,NumEmpleado,Horario,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
77,8134,16:00 - 17:00, , , , , , 
78,8134,17:00 - 18:00, , , , , , 
79,8134,18:00 - 19:00, , , , , , 
80,8134,19:00 - 20:00, , , , , , 
81,8134,20:00 - 21:00, , , , , , 
82,8134,21:00 - 22:00, , , , , , 
83,8134,22:00 - 23:00, , , , , , 
84,8134,4,,,,,,
85,8138,7:00 - 8:00, , , , , , 
86,8138,8:00 - 9:00, , , , , , 
87,8138,9:00 - 10:00,X,X,X,X, , 
88,8138,10:00 - 11:00,X,X,X,X,X, 
89,8138,11:00 - 12:00,X,X,X,X,X, 
90,8138,12:00 - 13:00,X,X,X,X,X, 
91,8138,13:00 - 14:00, , , , , , 
92,8138,14:00 - 15:00, , , , , , 
93,8138,15:00 - 16:00, , , , , , 
94,8138,16:00 - 17:00, , , , , , 
95,8138,17:00 - 18:00, , , , , , 
96,8138,18:00 - 19:00,X,X,X,X,X, 
97,8138,19:00 - 20:00,X,X, ,X,X, 
98,8138,20:00 - 21:00,X,X, ,X, , 
99,8138,21:00 - 22:00,X,X, ,X, , 
100,8138,22:00 - 23:00, , , , , , 
101,8138,34,,,,,,
102,8406,7:00 - 8:00, , , , , , 
103,8406,8:00 - 9:00, , , , , , 
104,8406,9:00 - 10:00,X,X,X,X,X, 
105,8406,10:00 - 11:00,X,X,X,X,X, 
106,8406,11:00 - 12:00,X,X,X,X,X, 
107,8406,12:00 - 13:00,X,X,X,X,X, 
108,8406,13:00 - 14:00, , , , , , 
109,8406,14:00 - 15:00, , , , , , 
110,8406,15:00 - 16:00, , , , , , 
111,8406,16:00 - 17:00, , , , , , 
112,8406,17:00 - 18:00, , , , , , 
113,8406,18:00 - 19:00, ,X, ,X,X, 
114,8406,19:00 - 20:00,X,X,X,X,X, 
115,8406,20:00 - 21:00,X,X,X,X,X, 
116,8406,21:00 - 22:00,X,X,X,X,X, 
117,8406,22:00 - 23:00, , , , , , 
118,8406,38,,,,,,
119,8591,7:00 - 8:00, , ,X, , , 
120,8591,8:00 - 9:00, ,X,X, , , 
121,8591,9:00 - 10:00, ,X, ,X,X, 
122,8591,10:00 - 11:00, , , ,X,X, 
123,8591,11:00 - 12:00, , , , , , 
124,8591,12:00 - 13:00, , , , , , 
125,8591,13:00 - 14:00, , , , , , 
126,8591,14:00 - 15:00, , , , , , 
127,8591,15:00 - 16:00, , , , , , 
128,8591,16:00 - 17:00, , ,X, , , 
129,8591,17:00 - 18:00,X, , , , , 
130,8591,18:00 - 19:00,X, , , , , 
131,8591,19:00 - 20:00, , , , , , 
132,8591,20:00 - 21:00, , , , , , 
133,8591,21:00 - 22:00, , , , , , 
134,8591,22:00 - 23:00, , , , , , 
135,8591,11,,,,,,
136,8606,7:00 - 8:00, , , , , , 
137,8606,8:00 - 9:00, , , , , , 
138,8606,9:00 - 10:00, ,X, , , , 
139,8606,10:00 - 11:00,X,X,X,X,X, 
140,8606,11:00 - 12:00,X,X,X,X,X, 
141,8606,12:00 - 13:00,X,X,X,X,X, 
142,8606,13:00 - 14:00, , , , , , 
143,8606,14:00 - 15:00,X,X,X,X,X, 
144,8606,15:00 - 16:00,X,X,X,X,X, 
145,8606,16:00 - 17:00,X,X,X,X,X, 
146,8606,17:00 - 18:00,X,X,X,X,X, 
147,8606,18:00 - 19:00, , , , , , 
148,8606,19:00 - 20:00, , , , , , 
149,8606,20:00 - 21:00, , , , , , 
150,8606,21:00 - 22:00, , , , , , 
151,8606,22:00 - 23:00, , , , , , 
152,8606,36,,,,,,
153,8851,7:00 - 8:00, , , , , , 
154,8851,8:00 - 9:00,X,X,X,X,X, 
155,8851,9:00 - 10:00,X,X,X,X,X, 
156,8851,10:00 - 11:00,X,X,X,X,X, 
157,8851,11:00 - 12:00,X,X,X,X,X, 
158,8851,12:00 - 13:00,X,X,X,X,X, 
159,8851,13:00 - 14:00, , , , , , 
160,8851,14:00 - 15:00, , , , , , 
161,8851,15:00 - 16:00, , , , , , 
162,8851,16:00 - 17:00, , , , , , 
163,8851,17:00 - 18:00,X,X,X,X,X, 
164,8851,18:00 - 19:00,X,X,X,X,X, 
165,8851,19:00 - 20:00,X,X,X,X,X, 
166,8851,20:00 - 21:00, , , , , , 
167,8851,21:00 - 22:00, , , , , , 
168,8851,22:00 - 23:00, , , , , , 
169,8851,40,,,,,,
170,9000,7:00 - 8:00, , , , , , 
171,9000,8:00 - 9:00,X, , , , , 
172,9000,9:00 - 10:00,X,X,X,X,X, 
173,9000,10:00 - 11:00, ,X,X,X,X, 
174,9000,11:00 - 12:00,X,X,X,X,X, 
175,9000,12:00 - 13:00,X,X,X,X,X, 
176,9000,13:00 - 14:00, , , , , , 
177,9000,14:00 - 15:00, , , , , , 
178,9000,15:00 - 16:00, , , , , , 
179,9000,16:00 - 17:00, , , , , , 
180,9000,17:00 - 18:00, , , , , , 
181,9000,18:00 - 19:00, , , , , , 
182,9000,19:00 - 20:00, , , , , , 
183,9000,20:00 - 21:00, , , , , , 
184,9000,21:00 - 22:00, , , , , , 
185,9000,22:00 - 23:00, , , , , , 
186,9000,20,,,,,,
187,9276,7:00 - 8:00, , , , , , 
188,9276,8:00 - 9:00, , , , , , 
189,9276,9:00 - 10:00,X,X, ,X,X, 
190,9276,10:00 - 11:00,X, ,X,X,X, 
191,9276,11:00 - 12:00,X, ,X,X,X, 
192,9276,12:00 - 13:00,X,X,X,X,X, 
193,9276,13:00 - 14:00, , , , , , 
194,9276,14:00 - 15:00, , , , , , 
195,9276,15:00 - 16:00, , , , , , 
196,9276,16:00 - 17:00, , , , , , 
197,9276,17:00 - 18:00,X,X,X,X,X, 
198,9276,18:00 - 19:00,X,X,X,X,X, 
199,9276,19:00 - 20:00,X,X,X,X,X, 
200,9276,20:00 - 21:00,X,X,X,X,X, 
201,9276,21:00 - 22:00, , , , , , 
202,9276,22:00 - 23:00, , , , , , 
203,9276,37,,,,,,
204,9331,7:00 - 8:00, , , , , , 
205,9331,8:00 - 9:00, , , , , , 
206,9331,9:00 - 10:00, , , , , , 
207,9331,10:00 - 11:00, , , , , , 
208,9331,11:00 - 12:00, , , , , , 
209,9331,12:00 - 13:00, , , , , , 
210,9331,13:00 - 14:00, , , , , , 
211,9331,14:00 - 15:00, , , , , , 
212,9331,15:00 - 16:00, , , , , , 
213,9331,16:00 - 17:00, , , , , , 
214,9331,17:00 - 18:00,X,X,X,X, , 
215,9331,18:00 - 19:00,X,X,X,X, , 
216,9331,19:00 - 20:00,X,X,X,X, , 
217,9331,20:00 - 21:00, , , , , , 
218,9331,21:00 - 22:00, , , , , , 
219,9331,22:00 - 23:00, , , , , , 
220,9331,12,,,,,,
221,9400,7:00 - 8:00, ,X, ,X, , 
222,9400,8:00 - 9:00, ,X,X,X, , 
223,9400,9:00 - 10:00, ,X,X,X, , 
224,9400,10:00 - 11:00, , ,X,X, , 
225,9400,11:00 - 12:00, , , , , , 
226,9400,12:00 - 13:00, , , , , , 
227,9400,13:00 - 14:00, , , , , , 
228,9400,14:00 - 15:00, , , , , , 
229,9400,15:00 - 16:00, , , , , , 
230,9400,16:00 - 17:00, , , , , , 
231,9400,17:00 - 18:00, , , , , , 
232,9400,18:00 - 19:00, , , , , , 
233,9400,19:00 - 20:00, , , ,X, , 
234,9400,20:00 - 21:00,X,X,X,X, , 
235,9400,21:00 - 22:00,X,X,X,X, , 
236,9400,22:00 - 23:00, , , , , , 
237,9400,19,,,,,,
238,10327,7:00 - 8:00, , , , , , 
239,10327,8:00 - 9:00, , , , , , 
240,10327,9:00 - 10:00, , , , , , 
241,10327,10:00 - 11:00, , , , , , 
242,10327,11:00 - 12:00, , ,X,X, , 
243,10327,12:00 - 13:00, , ,X, , , 
244,10327,13:00 - 14:00, , , , , , 
245,10327,14:00 - 15:00, , , , , , 
246,10327,15:00 - 16:00, , , , , , 
247,10327,16:00 - 17:00, , , , , , 
248,10327,17:00 - 18:00, , , , , , 
249,10327,18:00 - 19:00, , , , , , 
250,10327,19:00 - 20:00, , , , , , 
251,10327,20:00 - 21:00, , , , , , 
252,10327,21:00 - 22:00, , , , , , 
253,10327,22:00 - 23:00, , , , , , 
254,10327,3,,,,,,
255,10664,7:00 - 8:00, , , , , , 
256,10664,8:00 - 9:00, , , , , , 
257,10664,9:00 - 10:00,X,X,X,X,X, 
258,10664,10:00 - 11:00,X,X,X,X,X, 
259,10664,11:00 - 12:00,X,X,X,X,X, 
260,10664,12:00 - 13:00,X,X,X,X,X, 
261,10664,13:00 - 14:00, , , , , , 
262,10664,14:00 - 15:00, , , , , , 
263,10664,15:00 - 16:00, , , , , , 
264,10664,16:00 - 17:00,X,X,X,X,X, 
265,10664,17:00 - 18:00,X,X,X,X,X, 
266,10664,18:00 - 19:00,X,X,X,X,X, 
267,10664,19:00 - 20:00,X,X,X,X,X, 
268,10664,20:00 - 21:00, , , , , , 
269,10664,21:00 - 22:00, , , , , , 
270,10664,22:00 - 23:00, , , , , , 
271,10664,40,,,,,,
272,10736,7:00 - 8:00, , , , , , 
273,10736,8:00 - 9:00, , , , , , 
274,10736,9:00 - 10:00, , , , , , 
275,10736,10:00 - 11:00, ,X,X, , , 
276,10736,11:00 - 12:00, ,X,X, , , 
277,10736,12:00 - 13:00, , , , , , 
278,10736,13:00 - 14:00, , , , , , 
279,10736,14:00 - 15:00, , , , , , 
280,10736,15:00 - 16:00, , , , , , 
281,10736,16:00 - 17:00, , , , , , 
282,10736,17:00 - 18:00, , , , , , 
283,10736,18:00 - 19:00, , , , , , 
284,10736,19:00 - 20:00, , , , , , 
285,10736,20:00 - 21:00, , , , , , 
286,10736,21:00 - 22:00, , , , , , 
287,10736,22:00 - 23:00, , , , , , 
288,10736,4,,,,,,
289,10790,7:00 - 8:00,X,X, , ,X, 
290,10790,8:00 - 9:00,X,X,X, ,X, 
291,10790,9:00 - 10:00, ,X,X, ,X, 
292,10790,10:00 - 11:00,X,X,X, ,X, 
293,10790,11:00 - 12:00, , ,X, ,X, 
294,10790,12:00 - 13:00, , ,X, , , 
295,10790,13:00 - 14:00, , , , , , 
296,10790,14:00 - 15:00, , , , , , 
297,10790,15:00 - 16:00, , , , , , 
298,10790,16:00 - 17:00, , , , , , 
299,10790,17:00 - 18:00, , , , , , 
300,10790,18:00 - 19:00, , , , , , 
301,10790,19:00 - 20:00, , , , , , 
302,10790,20:00 - 21:00, , , , , , 
303,10790,21:00 - 22:00, , , , , , 
304,10790,22:00 - 23:00, , , , , , 
305,10790,17,,,,,,
306,11180,7:00 - 8:00,X, ,X,X, , 
307,11180,8:00 - 9:00,X, ,X,X, , 
308,11180,9:00 - 10:00, ,X, , , , 
309,11180,10:00 - 11:00, ,X, , , , 
310,11180,11:00 - 12:00, , , , , , 
311,11180,12:00 - 13:00, , , , , , 
312,11180,13:00 - 14:00, , , , , , 
313,11180,14:00 - 15:00, , , , , , 
314,11180,15:00 - 16:00, , , , , , 
315,11180,16:00 - 17:00, , , , , , 
316,11180,17:00 - 18:00, , , , , , 
317,11180,18:00 - 19:00, , , , , , 
318,11180,19:00 - 20:00, , , , , , 
319,11180,20:00 - 21:00, , , , , , 
320,11180,21:00 - 22:00, , , , , , 
321,11180,22:00 - 23:00, , , , , , 
322,11180,8,,,,,,
323,11184,7:00 - 8:00, , , , , , 
324,11184,8:00 - 9:00, , , , , , 
325,11184,9:00 - 10:00, , , , , , 
326,11184,10:00 - 11:00, , , , , , 
327,11184,11:00 - 12:00, , , , , , 
328,11184,12:00 - 13:00, , , , , , 
329,11184,13:00 - 14:00, , , , , , 
330,11184,14:00 - 15:00, , , , , , 
331,11184,15:00 - 16:00, , , , , , 
332,11184,16:00 - 17:00, ,X, , , , 
333,11184,17:00 - 18:00, ,X,X,X,X, 
334,11184,18:00 - 19:00, ,X,X,X, , 
335,11184,19:00 - 20:00, ,X,X,X,X, 
336,11184,20:00 - 21:00, ,X,X,X,X, 
337,11184,21:00 - 22:00, ,X,X,X,X, 
338,11184,22:00 - 23:00, , , , , , 
339,11184,20,,,,,,
340,11252,7:00 - 8:00, , , , , , 
341,11252,8:00 - 9:00, , , , , , 
342,11252,9:00 - 10:00,X,X,X,X,X, 
343,11252,10:00 - 11:00,X,X,X,X,X, 
344,11252,11:00 - 12:00,X,X,X,X,X, 
345,11252,12:00 - 13:00,X,X,X,X,X, 
346,11252,13:00 - 14:00, , , , , , 
347,11252,14:00 - 15:00, , , , , , 
348,11252,15:00 - 16:00, , , , , , 
349,11252,16:00 - 17:00,X,X,X,X,X, 
350,11252,17:00 - 18:00,X,X,X,X,X, 
351,11252,18:00 - 19:00,X,X,X,X,X, 
352,11252,19:00 - 20:00,X,X,X,X,X, 
353,11252,20:00 - 21:00, , , , , , 
354,11252,21:00 - 22:00, , , , , , 
355,11252,22:00 - 23:00, , , , , , 
356,11252,40,,,,,,
357,11265,7:00 - 8:00, , , , , , 
358,11265,8:00 - 9:00, , , , , , 
359,11265,9:00 - 10:00, , , , , , 
360,11265,10:00 - 11:00, , , , , , 
361,11265,11:00 - 12:00, , , , , , 
362,11265,12:00 - 13:00, , , , , , 
363,11265,13:00 - 14:00, , , , , , 
364,11265,14:00 - 15:00, , , , , , 
365,11265,15:00 - 16:00, , , , , , 
366,11265,16:00 - 17:00, , , , , , 
367,11265,17:00 - 18:00, , , , , , 
368,11265,18:00 - 19:00, , , , ,X, 
369,11265,19:00 - 20:00, , , , ,X, 
370,11265,20:00 - 21:00, ,X,X, ,X, 
371,11265,21:00 - 22:00, ,X,X, ,X, 
372,11265,22:00 - 23:00, , , , , , 
373,11265,8,,,,,,
374,11537,7:00 - 8:00, , , , , , 
375,11537,8:00 - 9:00,X, , ,X, , 
376,11537,9:00 - 10:00, , ,X,X,X, 
377,11537,10:00 - 11:00, , , , , , 
378,11537,11:00 - 12:00, , ,X, ,X, 
379,11537,12:00 - 13:00, , ,X, ,X, 
380,11537,13:00 - 14:00, , , , , , 
381,11537,14:00 - 15:00, , , , , , 
382,11537,15:00 - 16:00, , , , , , 
383,11537,16:00 - 17:00, ,X, , ,X, 
384,11537,17:00 - 18:00, , , , ,X, 
385,11537,18:00 - 19:00, , , , , , 
386,11537,19:00 - 20:00, , , , , , 
387,11537,20:00 - 21:00, , , , , , 
388,11537,21:00 - 22:00, , , , , , 
389,11537,22:00 - 23:00, , , , , , 
390,11537,12,,,,,,
391,12003,7:00 - 8:00,X,X,X,X, , 
392,12003,8:00 - 9:00,X,X,X,X, , 
393,12003,9:00 - 10:00, , , , , , 
394,12003,10:00 - 11:00, , , , , , 
395,12003,11:00 - 12:00, , , , , , 
396,12003,12:00 - 13:00, , , , , , 
397,12003,13:00 - 14:00, , , , , , 
398,12003,14:00 - 15:00, , , , , , 
399,12003,15:00 - 16:00, , , , , , 
400,12003,16:00 - 17:00, , , , , , 
401,12003,17:00 - 18:00, , , , , , 
402,12003,18:00 - 19:00, , , , , , 
403,12003,19:00 - 20:00, , , , , , 
404,12003,20:00 - 21:00, , , , , , 
405,12003,21:00 - 22:00, , , , , , 
406,12003,22:00 - 23:00, , , , , , 
407,12003,8,,,,,,
408,12080,7:00 - 8:00, , , , , , 
409,12080,8:00 - 9:00, , , , , , 
410,12080,9:00 - 10:00,X,X,X,X,X, 
411,12080,10:00 - 11:00,X,X,X,X,X, 
412,12080,11:00 - 12:00,X,X,X,X,X, 
413,12080,12:00 - 13:00,X,X,X,X,X, 
414,12080,13:00 - 14:00, , , , , , 
415,12080,14:00 - 15:00, , , , , , 
416,12080,15:00 - 16:00, , , , , , 
417,12080,16:00 - 17:00, , , , , , 
418,12080,17:00 - 18:00,X,X, ,X,X, 
419,12080,18:00 - 19:00,X,X, , ,X, 
420,12080,19:00 - 20:00,X,X, , ,X, 
421,12080,20:00 - 21:00, , , , , , 
422,12080,21:00 - 22:00, , , , , , 
423,12080,22:00 - 23:00, , , , , , 
424,12080,30,,,,,,
425,12261,7:00 - 8:00,X, , , ,X, 
426,12261,8:00 - 9:00,X, , , ,X, 
427,12261,9:00 - 10:00, , , , , , 
428,12261,10:00 - 11:00, , , , , , 
429,12261,11:00 - 12:00, , , , , , 
430,12261,12:00 - 13:00, , , , , , 
431,12261,13:00 - 14:00, , , , , , 
432,12261,14:00 - 15:00, , , , , , 
433,12261,15:00 - 16:00, , , , , , 
434,12261,16:00 - 17:00, , , , , , 
435,12261,17:00 - 18:00, , , , , , 
436,12261,18:00 - 19:00, , , , , , 
437,12261,19:00 - 20:00, , , , , , 
438,12261,20:00 - 21:00, , , , , , 
439,12261,21:00 - 22:00, , , , , , 
440,12261,22:00 - 23:00, , , , , , 
441,12261,4,,,,,,
442,12335,7:00 - 8:00, , , , , , 
443,12335,8:00 - 9:00, , , , , , 
444,12335,9:00 - 10:00, , , , , , 
445,12335,10:00 - 11:00, , , , , , 
446,12335,11:00 - 12:00, , , , , , 
447,12335,12:00 - 13:00, , , , , , 
448,12335,13:00 - 14:00, , , , , , 
449,12335,14:00 - 15:00, , , , , , 
450,12335,15:00 - 16:00, , , , , , 
451,12335,16:00 - 17:00, , , ,X,X, 
452,12335,17:00 - 18:00, , , , ,X, 
453,12335,18:00 - 19:00,X, , ,X,X, 
454,12335,19:00 - 20:00,X,X,X,X,X, 
455,12335,20:00 - 21:00,X,X,X,X,X, 
456,12335,21:00 - 22:00,X,X, ,X,X, 
457,12335,22:00 - 23:00, , , , , , 
458,12335,20,,,,,,
459,12477,7:00 - 8:00, , , , , , 
460,12477,8:00 - 9:00, , ,X, , , 
461,12477,9:00 - 10:00,X,X,X,X,X, 
462,12477,10:00 - 11:00,X,X,X,X,X, 
463,12477,11:00 - 12:00,X,X,X,X,X, 
464,12477,12:00 - 13:00,X,X,X,X,X, 
465,12477,13:00 - 14:00, , , , , , 
466,12477,14:00 - 15:00, , , , , , 
467,12477,15:00 - 16:00, , , , , , 
468,12477,16:00 - 17:00,X,X,X,X, , 
469,12477,17:00 - 18:00,X,X,X,X,X, 
470,12477,18:00 - 19:00, ,X,X,X,X, 
471,12477,19:00 - 20:00, , , , ,X, 
472,12477,20:00 - 21:00, , , , , , 
473,12477,21:00 - 22:00, , , , , , 
474,12477,22:00 - 23:00, , , , , , 
475,12477,35,,,,,,
476,12502,7:00 - 8:00, , , , , ,X
477,12502,8:00 - 9:00, , , , , ,X
478,12502,9:00 - 10:00, , , , , ,X
479,12502,10:00 - 11:00, , , , , ,X
480,12502,11:00 - 12:00, , , , , ,X
481,12502,12:00 - 13:00, , , , , ,X
482,12502,13:00 - 14:00, , , , , , 
483,12502,14:00 - 15:00, , , , , , 
484,12502,15:00 - 16:00, , , , , , 
485,12502,16:00 - 17:00, , , , , , 
486,12502,17:00 - 18:00,X,X, , , , 
487,12502,18:00 - 19:00,X,X, ,X, , 
488,12502,19:00 - 20:00,X,X, ,X, , 
489,12502,20:00 - 21:00,X,X, ,X, , 
490,12502,21:00 - 22:00,X,X, ,X, , 
491,12502,22:00 - 23:00, , , , , , 
492,12502,20,,,,,,
493,12640,7:00 - 8:00, , , , , , 
494,12640,8:00 - 9:00, , , , , , 
495,12640,9:00 - 10:00,X,X,X,X,X, 
496,12640,10:00 - 11:00,X,X,X,X,X, 
497,12640,11:00 - 12:00,X,X,X,X,X, 
498,12640,12:00 - 13:00,X,X,X,X,X, 
499,12640,13:00 - 14:00,X,X,X,X,X, 
500,12640,14:00 - 15:00, , , , , , 
501,12640,15:00 - 16:00, , , , , , 
502,12640,16:00 - 17:00, , , , , , 
503,12640,17:00 - 18:00, , , , , , 
504,12640,18:00 - 19:00, , , , , , 
505,12640,19:00 - 20:00,X,X,X,X,X, 
506,12640,20:00 - 21:00,X,X,X,X,X, 
507,12640,21:00 - 22:00,X,X,X,X,X, 
508,12640,22:00 - 23:00, , , , , , 
509,12640,40,,,,,,
510,12722,7:00 - 8:00, , , , , , 
511,12722,8:00 - 9:00, , , , , , 
512,12722,9:00 - 10:00, , , , , , 
513,12722,10:00 - 11:00, , , , , , 
514,12722,11:00 - 12:00, , , , , , 
515,12722,12:00 - 13:00, , , , , , 
516,12722,13:00 - 14:00, , , , , , 
517,12722,14:00 - 15:00, , , , , , 
518,12722,15:00 - 16:00, , , , , , 
519,12722,16:00 - 17:00, , ,X, ,X, 
520,12722,17:00 - 18:00, , ,X, ,X, 
521,12722,18:00 - 19:00, , ,X, ,X, 
522,12722,19:00 - 20:00, , ,X, ,X, 
523,12722,20:00 - 21:00, , , , , , 
524,12722,21:00 - 22:00, , , , , , 
525,12722,22:00 - 23:00, , , , , , 
526,12722,8,,,,,,
527,12776,7:00 - 8:00, , , , , , 
528,12776,8:00 - 9:00, ,X, ,X,X, 
529,12776,9:00 - 10:00, ,X, ,X,X, 
530,12776,10:00 - 11:00,X,X, ,X,X, 
531,12776,11:00 - 12:00,X,X,X,X,X, 
532,12776,12:00 - 13:00,X,X,X, ,X, 
533,12776,13:00 - 14:00, , ,X, , , 
534,12776,14:00 - 15:00, , , , , , 
535,12776,15:00 - 16:00, , , , , , 
536,12776,16:00 - 17:00, , , , , , 
537,12776,17:00 - 18:00, , , , , , 
538,12776,18:00 - 19:00, , , , , , 
539,12776,19:00 - 20:00, , , , , , 
540,12776,20:00 - 21:00, , , , , , 
541,12776,21:00 - 22:00, , , , , , 
542,12776,22:00 - 23:00, , , , , , 
543,12776,20,,,,,,
544,12810,7:00 - 8:00, ,X,X,X,X, 
545,12810,8:00 - 9:00,X,X,X,X,X, 
546,12810,9:00 - 10:00,X, ,X, ,X, 
547,12810,10:00 - 11:00, , , , , , 
548,12810,11:00 - 12:00, , , , , , 
549,12810,12:00 - 13:00, , , , , , 
550,12810,13:00 - 14:00, , , , , , 
551,12810,14:00 - 15:00, , , , , , 
552,12810,15:00 - 16:00, , , , , , 
553,12810,16:00 - 17:00, , , , , , 
554,12810,17:00 - 18:00, , , , , , 
555,12810,18:00 - 19:00, ,X, ,X, , 
556,12810,19:00 - 20:00, ,X, ,X, , 
557,12810,20:00 - 21:00, , , , ,X, 
558,12810,21:00 - 22:00, ,X, , ,X, 
559,12810,22:00 - 23:00, , , , , , 
560,12810,19,,,,,,
561,13060,7:00 - 8:00, ,X, ,X, , 
562,13060,8:00 - 9:00, ,X, ,X, , 
563,13060,9:00 - 10:00, ,X,X,X, , 
564,13060,10:00 - 11:00,X,X,X,X,X, 
565,13060,11:00 - 12:00,X,X,X,X,X, 
566,13060,12:00 - 13:00,X,X,X,X,X, 
567,13060,13:00 - 14:00, ,X, ,X,X, 
568,13060,14:00 - 15:00, ,X, ,X, , 
569,13060,15:00 - 16:00, , , , , , 
570,13060,16:00 - 17:00, , , , , , 
571,13060,17:00 - 18:00, , , , , , 
572,13060,18:00 - 19:00,X, ,X, , , 
573,13060,19:00 - 20:00,X, ,X, , , 
574,13060,20:00 - 21:00,X, ,X, ,X, 
575,13060,21:00 - 22:00,X, ,X, , , 
576,13060,22:00 - 23:00, , , , , , 
577,13060,36,,,,,,
578,13291,7:00 - 8:00, , , , , , 
579,13291,8:00 - 9:00,X, ,X, , , 
580,13291,9:00 - 10:00,X, ,X, , , 
581,13291,10:00 - 11:00, , , , , , 
582,13291,11:00 - 12:00, , , , , , 
583,13291,12:00 - 13:00, , , , , , 
584,13291,13:00 - 14:00, , , , , , 
585,13291,14:00 - 15:00, , , , , , 
586,13291,15:00 - 16:00, , , , , , 
587,13291,16:00 - 17:00, , , , , , 
588,13291,17:00 - 18:00, , , , , , 
589,13291,18:00 - 19:00, , , , , , 
590,13291,19:00 - 20:00, , , , , , 
591,13291,20:00 - 21:00, , , , , , 
592,13291,21:00 - 22:00, , , , , , 
593,13291,22:00 - 23:00, , , , , , 
594,13291,4,,,,,,
595,13595,7:00 - 8:00, , , , , , 
596,13595,8:00 - 9:00, , , , , , 
597,13595,9:00 - 10:00,X,X,X,X,X, 
598,13595,10:00 - 11:00,X,X,X,X,X, 
599,13595,11:00 - 12:00,X,X,X,X,X, 
600,13595,12:00 - 13:00,X,X,X, ,X, 
601,13595,13:00 - 14:00, , , , , , 
602,13595,14:00 - 15:00, , , , , , 
603,13595,15:00 - 16:00, , , , , , 
604,13595,16:00 - 17:00, , , , , , 
605,13595,17:00 - 18:00,X, ,X,X,X, 
606,13595,18:00 - 19:00,X,X,X,X,X, 
